date,campaign_id,spend,impressions,clicks,sessions,bookings,revenue
2024-09-09,1,229.71,2857,120,111,3,1837.57
2024-09-10,1,305.34,3809,160,145,3,837.33
2024-09-11,1,269.97,3380,142,120,0,0.0
2024-09-12,1,262.14,3261,137,126,1,592.04
2024-09-13,1,235.8,2952,124,102,4,2927.62
2024-09-14,1,267.21,3333,140,121,3,792.87
2024-09-15,1,239.93,3000,126,118,1,858.51
2024-09-16,1,259.66,3238,136,112,4,1449.14
2024-09-17,1,285.14,3571,150,125,2,776.25
2024-09-18,1,247.2,3095,130,116,3,981.36
2024-09-19,1,296.07,3690,155,132,1,548.96
2024-09-20,1,222.96,2785,117,105,1,476.36
2024-09-21,1,210.16,2619,110,94,5,2054.27
2024-09-22,1,307.46,3833,161,143,3,852.99
2024-09-23,1,275.24,3428,144,125,1,781.95
2024-09-24,1,207.04,2571,108,88,1,887.73
2024-09-25,1,335.37,4190,176,150,2,910.75
2024-09-26,1,312.64,3904,164,151,2,1328.01
2024-09-27,1,329.6,4119,173,159,0,0.0
2024-09-28,1,273.27,3404,143,132,1,280.54
2024-09-29,1,227.94,2833,119,111,1,1072.0
2024-09-30,1,265.68,3309,139,123,2,757.93
2024-10-01,1,251.8,3142,132,114,3,2139.37
2024-10-02,1,267.54,3333,140,115,0,0.0
2024-10-03,1,252.67,3142,132,118,2,1006.19
2024-10-04,1,256.22,3190,134,118,2,1203.43
2024-10-05,1,277.83,3476,146,130,0,0.0
2024-10-06,1,287.65,3595,151,140,1,251.57
2024-10-07,1,228.77,2857,120,108,2,1114.75
2024-10-08,1,275.87,3452,145,134,2,486.31
2024-10-09,1,253.38,3166,133,112,2,1475.68
2024-10-10,1,288.31,3595,151,134,1,487.32
2024-10-11,1,212.71,2642,111,98,1,543.3
2024-10-12,1,245.67,3071,129,108,2,2937.72
2024-10-13,1,282.52,3523,148,138,2,1187.36
2024-10-14,1,245.79,3071,129,107,1,205.0
2024-10-15,1,253.96,3166,133,110,1,273.91
