date,channel_id,sessions,users,bookings,revenue,spend,impressions,clicks
2024-09-01,1,217,181,3,1174.45,0.0,0,0
2024-09-01,2,157,123,3,1093.34,0.0,0,0
2024-09-01,3,143,117,1,979.5,0.0,0,0
2024-09-01,4,73,59,2,1366.55,0.0,0,0
2024-09-01,5,105,88,3,3132.44,0.0,0,0
2024-09-01,6,0,0,12,8008.47,0.0,0,0
2024-09-01,7,125,99,2,1728.76,0.0,0,0
2024-09-02,1,498,415,10,7772.08,0.0,0,0
2024-09-02,2,135,112,3,1522.13,0.0,0,0
2024-09-02,3,145,117,1,1706.88,0.0,0,0
2024-09-02,4,167,142,6,2600.97,0.0,0,0
2024-09-02,5,24,19,0,0.0,0.0,0,0
2024-09-02,6,0,0,9,3327.24,0.0,0,0
2024-09-02,7,21,17,0,0.0,0.0,0,0
2024-09-03,1,332,273,5,4041.95,0.0,0,0
2024-09-03,2,206,170,5,2380.7,0.0,0,0
2024-09-03,3,17,14,0,0.0,0.0,0,0
2024-09-03,4,71,58,2,2337.72,0.0,0,0
2024-09-03,5,76,61,2,864.47,0.0,0,0
2024-09-03,6,0,0,7,3911.26,0.0,0,0
2024-09-03,7,20,16,0,0.0,0.0,0,0
2024-09-04,1,328,271,6,3505.02,0.0,0,0
2024-09-04,2,80,63,1,275.18,0.0,0,0
2024-09-04,3,137,114,1,558.74,0.0,0,0
2024-09-04,4,31,24,0,0.0,0.0,0,0
2024-09-04,5,128,100,4,1081.31,0.0,0,0
2024-09-04,6,0,0,8,4300.18,0.0,0,0
2024-09-04,7,113,95,2,1233.84,0.0,0,0
2024-09-05,1,475,381,10,5376.98,0.0,0,0
2024-09-05,2,217,184,5,4618.94,0.0,0,0
2024-09-05,3,147,118,1,629.36,0.0,0,0
2024-09-05,4,88,69,3,793.02,0.0,0,0
2024-09-05,5,111,91,3,1445.69,0.0,0,0
2024-09-05,6,0,0,9,5699.71,0.0,0,0
2024-09-05,7,71,57,1,282.46,0.0,0,0
2024-09-06,1,364,285,7,5150.41,0.0,0,0
2024-09-06,2,111,95,2,1155.0,0.0,0,0
2024-09-06,3,128,101,1,617.92,0.0,0,0
2024-09-06,4,31,26,0,0.0,0.0,0,0
2024-09-06,5,76,59,2,519.61,0.0,0,0
2024-09-06,6,0,0,9,6858.93,0.0,0,0
2024-09-06,7,20,16,0,0.0,0.0,0,0
2024-09-07,1,223,187,3,1243.7,0.0,0,0
2024-09-07,2,214,173,5,2925.8,0.0,0,0
2024-09-07,3,143,113,1,2024.89,0.0,0,0
2024-09-07,4,31,24,0,0.0,0.0,0,0
2024-09-07,5,53,44,1,263.23,0.0,0,0
2024-09-07,6,0,0,7,5891.78,0.0,0,0
2024-09-07,7,140,114,2,1628.99,0.0,0,0
2024-09-08,1,505,420,10,5373.11,0.0,0,0
2024-09-08,2,279,218,7,3906.32,0.0,0,0
2024-09-08,3,17,14,0,0.0,0.0,0,0
2024-09-08,4,70,55,2,997.23,0.0,0,0
2024-09-08,5,82,67,2,861.42,0.0,0,0
2024-09-08,6,0,0,10,6304.99,0.0,0,0
2024-09-08,7,147,118,2,1665.81,0.0,0,0
2024-09-09,1,440,347,8,5086.44,0.0,0,0
2024-09-09,2,155,123,3,1837.57,229.71,2857,120
2024-09-09,3,149,121,1,891.72,0.0,0,0
2024-09-09,4,69,54,2,1142.72,0.0,0,0
2024-09-09,5,110,90,3,864.1,0.0,0,0
2024-09-09,6,0,0,7,5856.79,0.0,0,0
2024-09-09,7,70,57,1,1143.12,0.0,0,0
2024-09-10,1,463,372,9,7584.98,0.0,0,0
2024-09-10,2,287,242,8,4802.21,305.34,3809,160
2024-09-10,3,153,119,1,232.06,0.0,0,0
2024-09-10,4,93,74,3,766.64,0.0,0,0
2024-09-10,5,24,18,0,0.0,0.0,0,0
2024-09-10,6,0,0,11,6276.33,0.0,0,0
2024-09-10,7,121,101,2,1178.32,0.0,0,0
2024-09-11,1,371,316,6,4844.93,0.0,0,0
2024-09-11,2,115,92,2,573.52,269.97,3380,142
2024-09-11,3,272,233,2,914.71,0.0,0,0
2024-09-11,4,69,54,2,1204.69,0.0,0,0
2024-09-11,5,75,61,2,421.72,0.0,0,0
2024-09-11,6,0,0,8,4763.06,0.0,0,0
2024-09-11,7,187,148,3,2139.06,0.0,0,0
2024-09-12,1,297,235,5,3838.58,0.0,0,0
2024-09-12,2,80,63,1,592.04,262.14,3261,137
2024-09-12,3,140,111,1,855.93,0.0,0,0
2024-09-12,4,76,64,2,2031.95,0.0,0,0
2024-09-12,5,48,40,1,276.28,0.0,0,0
2024-09-12,6,0,0,7,5987.61,0.0,0,0
2024-09-12,7,120,94,2,2228.49,0.0,0,0
2024-09-13,1,431,370,8,7663.09,0.0,0,0
2024-09-13,2,305,255,8,4842.26,235.8,2952,124
2024-09-13,3,469,385,4,2120.74,0.0,0,0
2024-09-13,4,119,97,4,2323.26,0.0,0,0
2024-09-13,5,50,41,1,676.77,0.0,0,0
2024-09-13,6,0,0,4,2005.66,0.0,0,0
2024-09-13,7,20,16,0,0.0,0.0,0,0
2024-09-14,1,452,353,8,5895.27,0.0,0,0
2024-09-14,2,178,146,4,1933.07,267.21,3333,140
2024-09-14,3,17,14,0,0.0,0.0,0,0
2024-09-14,4,30,23,0,0.0,0.0,0,0
2024-09-14,5,23,19,0,0.0,0.0,0,0
2024-09-14,6,0,0,9,5590.73,0.0,0,0
2024-09-14,7,75,60,1,260.42,0.0,0,0
2024-09-15,1,401,342,8,7015.07,0.0,0,0
2024-09-15,2,105,87,2,1079.46,239.93,3000,126
2024-09-15,3,16,13,0,0.0,0.0,0,0
2024-09-15,4,90,77,3,1522.3,0.0,0,0
2024-09-15,5,53,42,1,428.9,0.0,0,0
2024-09-15,6,0,0,13,7076.7,0.0,0,0
2024-09-15,7,194,152,3,1692.66,0.0,0,0
2024-09-16,1,166,139,2,1101.97,0.0,0,0
2024-09-16,2,263,213,6,2267.54,259.66,3238,136
2024-09-16,3,16,12,0,0.0,0.0,0,0
2024-09-16,4,123,96,4,2474.04,0.0,0,0
2024-09-16,5,106,90,3,1003.89,0.0,0,0
2024-09-16,6,0,0,7,5729.88,0.0,0,0
2024-09-16,7,75,61,1,539.46,0.0,0,0
2024-09-17,1,760,647,15,9865.66,0.0,0,0
2024-09-17,2,178,146,4,2406.29,285.14,3571,150
2024-09-17,3,267,227,2,1037.67,0.0,0,0
2024-09-17,4,99,83,3,977.66,0.0,0,0
2024-09-17,5,50,42,1,517.66,0.0,0,0
2024-09-17,6,0,0,11,4724.33,0.0,0,0
