date,market_id,sessions,bookings,revenue
2024-09-01,1,239,5,2890.63
2024-09-01,2,129,4,2791.34
2024-09-01,3,67,2,1555.74
2024-09-01,4,75,1,460.64
2024-09-01,5,45,3,1158.9
2024-09-01,6,51,1,574.96
2024-09-01,7,36,2,601.1
2024-09-01,8,39,2,2007.87
2024-09-01,9,59,3,3540.59
2024-09-01,10,43,2,1614.5
2024-09-01,11,26,1,287.24
2024-09-01,12,18,0,0.0
2024-09-02,1,289,6,3055.65
2024-09-02,2,145,5,1809.31
2024-09-02,3,78,0,0.0
2024-09-02,4,91,1,2412.45
2024-09-02,5,57,2,518.59
2024-09-02,6,60,1,768.15
2024-09-02,7,46,3,1231.92
2024-09-02,8,58,3,1034.39
2024-09-02,9,69,4,3000.84
2024-09-02,10,53,4,3098.0
2024-09-02,11,28,0,0.0
2024-09-02,12,18,0,0.0
2024-09-03,1,210,8,6362.47
2024-09-03,2,98,0,0.0
2024-09-03,3,58,1,719.68
2024-09-03,4,63,1,531.18
2024-09-03,5,48,1,486.48
2024-09-03,6,42,5,1581.88
2024-09-03,7,34,0,0.0
2024-09-03,8,37,1,976.26
2024-09-03,9,48,2,1552.12
2024-09-03,10,36,2,1326.03
2024-09-03,11,22,0,0.0
2024-09-03,12,15,0,0.0
2024-09-04,1,238,8,3831.18
2024-09-04,2,122,3,836.96
2024-09-04,3,65,3,1377.31
2024-09-04,4,65,3,2386.69
2024-09-04,5,53,0,0.0
2024-09-04,6,45,1,278.82
2024-09-04,7,39,1,328.59
2024-09-04,8,39,2,831.36
2024-09-04,9,61,0,0.0
2024-09-04,10,40,1,1083.36
2024-09-04,11,25,0,0.0
2024-09-04,12,15,0,0.0
2024-09-05,1,298,10,6479.71
2024-09-05,2,157,5,1370.62
2024-09-05,3,92,3,1819.64
2024-09-05,4,100,6,3629.23
2024-09-05,5,66,3,1182.0
2024-09-05,6,77,0,0.0
2024-09-05,7,60,0,0.0
2024-09-05,8,55,0,0.0
2024-09-05,9,71,3,1429.76
2024-09-05,10,61,1,2684.07
2024-09-05,11,34,1,251.13
2024-09-05,12,19,0,0.0
2024-09-06,1,207,6,3578.8
2024-09-06,2,106,3,1483.71
2024-09-06,3,59,2,2613.17
2024-09-06,4,66,1,1367.92
2024-09-06,5,43,2,949.32
2024-09-06,6,41,1,1198.85
2024-09-06,7,38,1,561.24
2024-09-06,8,34,1,321.34
2024-09-06,9,53,2,1335.72
2024-09-06,10,33,1,304.04
2024-09-06,11,20,1,587.76
2024-09-06,12,12,0,0.0
2024-09-07,1,229,5,2686.57
2024-09-07,2,131,2,1663.38
2024-09-07,3,69,1,299.64
2024-09-07,4,72,2,1864.18
2024-09-07,5,52,0,0.0
2024-09-07,6,45,1,269.95
2024-09-07,7,39,3,2436.71
2024-09-07,8,36,1,911.61
2024-09-07,9,59,1,2024.89
2024-09-07,10,37,3,1821.46
2024-09-07,11,23,0,0.0
2024-09-07,12,16,0,0.0
2024-09-08,1,313,10,5778.24
2024-09-08,2,154,3,1595.15
2024-09-08,3,84,3,1732.89
2024-09-08,4,86,5,2663.59
2024-09-08,5,64,3,2710.12
2024-09-08,6,62,2,1363.09
2024-09-08,7,57,2,823.87
2024-09-08,8,52,2,1324.36
2024-09-08,9,76,1,507.44
2024-09-08,10,54,2,610.13
2024-09-08,11,35,0,0.0
2024-09-08,12,22,0,0.0
2024-09-09,1,287,8,5189.64
2024-09-09,2,148,0,0.0
2024-09-09,3,76,3,2419.04
2024-09-09,4,91,4,1112.97
2024-09-09,5,59,0,0.0
2024-09-09,6,54,1,1985.55
2024-09-09,7,50,0,0.0
2024-09-09,8,49,4,2612.38
2024-09-09,9,69,3,1809.68
2024-09-09,10,52,1,801.48
2024-09-09,11,31,0,0.0
2024-09-09,12,20,1,891.72
2024-09-10,1,311,7,5945.83
2024-09-10,2,163,6,4242.31
2024-09-10,3,87,5,1784.14
2024-09-10,4,96,3,1043.27
2024-09-10,5,66,2,540.84
2024-09-10,6,66,1,533.0
2024-09-10,7,59,2,1259.14
2024-09-10,8,60,3,2561.97
2024-09-10,9,86,1,248.24
2024-09-10,10,57,0,0.0
2024-09-10,11,33,2,1528.74
2024-09-10,12,25,2,1153.06
2024-09-11,1,338,7,3535.77
2024-09-11,2,186,5,4386.8
2024-09-11,3,83,0,0.0
2024-09-11,4,101,0,0.0
2024-09-11,5,67,5,2176.57
2024-09-11,6,68,0,0.0
2024-09-11,7,52,2,1213.67
2024-09-11,8,51,1,270.95
2024-09-11,9,74,1,513.9
2024-09-11,10,52,2,1429.47
2024-09-11,11,30,0,0.0
2024-09-11,12,21,2,1334.56
2024-09-12,1,225,8,7286.25
2024-09-12,2,107,1,818.4
2024-09-12,3,61,1,875.61
2024-09-12,4,63,1,635.58
2024-09-12,5,42,1,1289.84
2024-09-12,6,46,0,0.0
2024-09-12,7,37,1,214.62
2024-09-12,8,39,0,0.0
2024-09-12,9,55,3,2373.01
2024-09-12,10,39,2,1461.64
2024-09-12,11,23,1,855.93
2024-09-12,12,16,0,0.0
2024-09-13,1,446,7,5017.47
2024-09-13,2,196,2,1499.02
2024-09-13,3,110,1,915.03
