date,rooms_available,rooms_occupied,occupancy_rate,adr,revpar,room_revenue,bookings_made,cancellations
2024-09-01,74,72,0.973,301.83,293.67,21731.76,26,4
2024-09-02,74,57,0.7703,291.53,224.56,16617.21,29,1
2024-09-03,74,47,0.6351,288.28,183.1,13549.16,21,5
2024-09-04,74,50,0.6757,273.6,184.86,13680.0,22,1
2024-09-05,74,49,0.6622,272.26,180.28,13340.74,32,4
2024-09-06,74,57,0.7703,294.48,226.83,16785.36,21,1
2024-09-07,74,71,0.9595,302.4,290.14,21470.4,19,1
2024-09-08,74,50,0.6757,298.12,201.43,14906.0,33,3
2024-09-09,74,48,0.6486,289.45,187.75,13893.6,25,5
2024-09-10,74,41,0.5541,285.54,158.2,11707.14,34,7
2024-09-11,74,39,0.527,273.35,144.06,10660.65,25,4
2024-09-12,74,43,0.5811,272.15,158.14,11702.45,19,1
2024-09-13,74,50,0.6757,298.25,201.52,14912.5,29,5
2024-09-14,74,53,0.7162,303.5,217.37,16085.5,22,3
2024-09-15,74,51,0.6892,295.38,203.57,15064.38,30,3
2024-09-16,74,46,0.6216,288.25,179.18,13259.5,23,3
2024-09-17,74,34,0.4595,282.45,129.77,9603.3,38,3
2024-09-18,74,38,0.5135,267.35,137.29,10159.3,26,5
2024-09-19,74,46,0.6216,266.67,165.77,12266.82,31,5
2024-09-20,74,50,0.6757,292.6,197.7,14630.0,24,4
2024-09-21,74,74,1.0,298.18,298.18,22065.32,32,5
2024-09-22,74,60,0.8108,291.52,236.37,17491.2,25,1
2024-09-23,74,50,0.6757,289.36,195.51,14468.0,21,1
2024-09-24,74,38,0.5135,275.13,141.28,10454.94,24,3
2024-09-25,74,42,0.5676,272.9,154.89,11461.8,24,5
2024-09-26,74,57,0.7703,271.42,209.07,15470.94,32,4
2024-09-27,74,74,1.0,283.51,283.51,20979.74,16,1
2024-09-28,74,72,0.973,289.64,281.81,20854.08,22,1
2024-09-29,74,60,0.8108,274.43,222.51,16465.8,24,7
2024-09-30,74,59,0.7973,269.58,214.94,15905.22,21,1
2024-10-01,74,51,0.6892,265.29,182.84,13529.79,24,4
2024-10-02,74,36,0.4865,265.78,129.3,9568.08,31,3
2024-10-03,74,45,0.6081,259.18,157.61,11663.1,21,2
2024-10-04,74,71,0.9595,280.91,269.52,19944.61,25,0
2024-10-05,74,74,1.0,283.07,283.07,20947.18,17,1
2024-10-06,74,74,1.0,273.84,273.84,20264.16,17,1
2024-10-07,74,60,0.8108,269.06,218.16,16143.6,22,3
2024-10-08,74,47,0.6351,261.32,165.97,12282.04,26,4
2024-10-09,74,38,0.5135,261.46,134.26,9935.48,23,2
2024-10-10,74,39,0.527,256.44,135.15,10001.16,23,5
2024-10-11,74,50,0.6757,267.57,180.79,13378.5,17,0
2024-10-12,74,49,0.6622,274.42,181.71,13446.58,21,2
2024-10-13,74,52,0.7027,260.89,183.33,13566.28,23,2
2024-10-14,74,40,0.5405,255.61,138.17,10224.4,12,2
2024-10-15,74,37,0.5,257.63,128.82,9532.31,20,2
2024-10-16,74,38,0.5135,248.61,127.66,9447.18,27,3
2024-10-17,74,35,0.473,247.42,117.02,8659.7,26,3
2024-10-18,74,46,0.6216,258.83,160.89,11906.18,16,4
2024-10-19,74,48,0.6486,261.99,169.94,12575.52,23,2
2024-10-20,74,43,0.5811,252.89,146.95,10874.27,25,5
2024-10-21,74,42,0.5676,249.88,141.82,10494.96,16,0
2024-10-22,74,34,0.4595,244.45,112.31,8311.3,16,0
2024-10-23,74,34,0.4595,244.3,112.25,8306.2,22,2
2024-10-24,74,38,0.5135,248.86,127.79,9456.68,17,3
2024-10-25,74,66,0.8919,258.93,230.94,17089.38,20,4
2024-10-26,74,72,0.973,257.14,250.19,18514.08,17,4
2024-10-27,74,55,0.7432,247.59,184.02,13617.45,18,3
2024-10-28,74,51,0.6892,245.18,168.98,12504.18,25,1
2024-10-29,74,50,0.6757,237.35,160.37,11867.5,29,1
2024-10-30,74,39,0.527,230.79,121.63,9000.81,19,3
2024-10-31,74,39,0.527,225.5,118.84,8794.5,11,2
2024-11-01,74,58,0.7838,237.99,186.53,13803.42,20,1
2024-11-02,74,66,0.8919,240.45,214.46,15869.7,30,1
2024-11-03,74,48,0.6486,232.74,150.97,11171.52,13,0
2024-11-04,74,42,0.5676,225.24,127.84,9460.08,19,0
2024-11-05,74,36,0.4865,222.35,108.17,8004.6,14,0
2024-11-06,74,28,0.3784,210.74,79.74,5900.72,21,0
2024-11-07,74,32,0.4324,217.63,94.11,6964.16,18,1
2024-11-08,74,37,0.5,224.53,112.27,8307.61,16,1
2024-11-09,74,43,0.5811,230.07,133.69,9893.01,22,3
2024-11-10,74,40,0.5405,227.4,122.92,9096.0,7,0
2024-11-11,74,41,0.5541,222.02,123.01,9102.82,22,1
2024-11-12,74,35,0.473,212.36,100.44,7432.6,15,1
2024-11-13,74,28,0.3784,203.45,76.98,5696.6,15,4
2024-11-14,74,30,0.4054,213.41,86.52,6402.3,19,2
2024-11-15,74,42,0.5676,223.58,126.9,9390.36,15,1
2024-11-16,74,44,0.5946,225.01,133.79,9900.44,16,1
2024-11-17,74,44,0.5946,216.17,128.53,9511.48,13,2
2024-11-18,74,40,0.5405,214.56,115.98,8582.4,13,2
2024-11-19,74,35,0.473,202.67,95.86,7093.45,19,2
2024-11-20,74,35,0.473,200.48,94.82,7016.8,21,1
2024-11-21,74,28,0.3784,199.05,75.32,5573.4,14,3
2024-11-22,74,41,0.5541,210.19,116.46,8617.79,12,1
2024-11-23,74,47,0.6351,215.74,137.02,10139.78,15,1
2024-11-24,74,45,0.6081,205.49,124.96,9247.05,21,1
2024-11-25,74,43,0.5811,199.25,115.78,8567.75,13,3
2024-11-26,74,40,0.5405,191.28,103.39,7651.2,12,1
2024-11-27,74,35,0.473,189.32,89.54,6626.2,14,1
2024-11-28,74,31,0.4189,194.09,81.31,6016.79,17,3
2024-11-29,74,46,0.6216,196.88,122.38,9056.48,11,0
2024-11-30,74,48,0.6486,201.15,130.48,9655.2,15,4
2024-12-01,74,51,0.6892,197.85,136.36,10090.35,17,3
2024-12-02,74,49,0.6622,190.8,126.34,9349.2,15,1
2024-12-03,74,41,0.5541,188.2,104.27,7716.2,14,2
2024-12-04,74,28,0.3784,179.93,68.08,5038.04,10,1
2024-12-05,74,25,0.3378,179.45,60.62,4486.25,15,2
2024-12-06,74,31,0.4189,189.15,79.24,5863.65,15,0
2024-12-07,74,38,0.5135,192.83,99.02,7327.54,11,3
2024-12-08,74,41,0.5541,188.54,104.46,7730.14,14,1
2024-12-09,74,32,0.4324,187.45,81.06,5998.4,16,0
2024-12-10,74,23,0.3108,183.13,56.92,4211.99,10,2
2024-12-11,74,16,0.2162,172.2,37.23,2755.2,14,0
2024-12-12,74,17,0.2297,166.96,38.36,2838.32,19,0
